mouseup at (284, 470) on 2024-10-05T10:46:07.584Z
click at (284, 470) on 2024-10-05T10:46:07.586Z
mousedown at (62, 494) on 2024-10-05T10:46:16.220Z
mouseup at (62, 494) on 2024-10-05T10:46:16.223Z
click at (62, 494) on 2024-10-05T10:46:16.225Z
mousedown at (43, 497) on 2024-10-05T10:46:17.071Z
mouseup at (43, 497) on 2024-10-05T10:46:17.075Z
click at (43, 497) on 2024-10-05T10:46:17.077Z
mousedown at (149, 536) on 2024-10-05T10:46:19.702Z
mouseup at (149, 536) on 2024-10-05T10:46:19.706Z
click at (149, 536) on 2024-10-05T10:46:19.707Z
mousedown at (149, 536) on 2024-10-05T10:46:20.219Z
mouseup at (149, 536) on 2024-10-05T10:46:20.225Z
click at (149, 536) on 2024-10-05T10:46:20.226Z
mousedown at (138, 539) on 2024-10-05T10:46:20.409Z
mouseup at (138, 539) on 2024-10-05T10:46:20.412Z
click at (138, 539) on 2024-10-05T10:46:20.415Z
mousedown at (207, 550) on 2024-10-05T10:46:27.195Z
mouseup at (207, 550) on 2024-10-05T10:46:27.197Z
click at (207, 550) on 2024-10-05T10:46:27.199Z
mousedown at (215, 543) on 2024-10-05T10:46:27.812Z
mouseup at (215, 543) on 2024-10-05T10:46:27.814Z
click at (215, 543) on 2024-10-05T10:46:27.816Z
mousedown at (215, 544) on 2024-10-05T10:46:28.405Z
mouseup at (215, 544) on 2024-10-05T10:46:28.413Z
click at (215, 544) on 2024-10-05T10:46:28.414Z
mousedown at (216, 544) on 2024-10-05T10:46:28.577Z
mouseup at (216, 544) on 2024-10-05T10:46:28.582Z
click at (216, 544) on 2024-10-05T10:46:28.586Z
mousedown at (214, 539) on 2024-10-05T10:46:28.761Z
mouseup at (214, 539) on 2024-10-05T10:46:28.764Z
click at (214, 539) on 2024-10-05T10:46:28.765Z
mousedown at (204, 557) on 2024-10-05T10:46:29.145Z
mouseup at (204, 557) on 2024-10-05T10:46:29.147Z
click at (204, 557) on 2024-10-05T10:46:29.149Z
mousedown at (209, 552) on 2024-10-05T10:46:29.305Z
mouseup at (209, 552) on 2024-10-05T10:46:29.311Z
click at (209, 552) on 2024-10-05T10:46:29.312Z
mousedown at (211, 566) on 2024-10-05T10:46:29.462Z
mouseup at (211, 566) on 2024-10-05T10:46:29.464Z
click at (211, 566) on 2024-10-05T10:46:29.468Z
mousedown at (211, 547) on 2024-10-05T10:46:29.761Z
mouseup at (211, 547) on 2024-10-05T10:46:29.764Z
click at (211, 547) on 2024-10-05T10:46:29.765Z
mousedown at (205, 558) on 2024-10-05T10:46:30.446Z
mouseup at (205, 558) on 2024-10-05T10:46:30.449Z
click at (205, 558) on 2024-10-05T10:46:30.450Z
mousedown at (207, 544) on 2024-10-05T10:46:30.628Z
mouseup at (207, 544) on 2024-10-05T10:46:30.634Z
click at (207, 544) on 2024-10-05T10:46:30.635Z
mousedown at (207, 544) on 2024-10-05T10:46:30.808Z
mouseup at (207, 544) on 2024-10-05T10:46:30.812Z
click at (207, 544) on 2024-10-05T10:46:30.814Z
mousedown at (208, 544) on 2024-10-05T10:46:30.972Z
mouseup at (208, 544) on 2024-10-05T10:46:30.979Z
click at (208, 544) on 2024-10-05T10:46:30.981Z
mousedown at (212, 542) on 2024-10-05T10:46:31.146Z
mouseup at (212, 542) on 2024-10-05T10:46:31.149Z
click at (212, 542) on 2024-10-05T10:46:31.150Z
mousedown at (212, 542) on 2024-10-05T10:46:31.329Z
mouseup at (212, 542) on 2024-10-05T10:46:31.332Z
click at (212, 542) on 2024-10-05T10:46:31.336Z
mousedown at (212, 542) on 2024-10-05T10:46:31.479Z
mouseup at (212, 542) on 2024-10-05T10:46:31.482Z
click at (212, 542) on 2024-10-05T10:46:31.484Z
mousedown at (321, 440) on 2024-10-05T10:47:08.059Z
mouseup at (321, 440) on 2024-10-05T10:47:08.061Z
click at (321, 440) on 2024-10-05T10:47:08.063Z
mousedown at (223, 521) on 2024-10-05T10:47:10.241Z
mouseup at (223, 521) on 2024-10-05T10:47:10.244Z
click at (223, 521) on 2024-10-05T10:47:10.246Z
mousedown at (274, 431) on 2024-10-05T10:47:13.723Z
mouseup at (274, 431) on 2024-10-05T10:47:13.726Z
click at (274, 431) on 2024-10-05T10:47:13.728Z
mousedown at (275, 445) on 2024-10-05T10:47:14.262Z
mouseup at (275, 445) on 2024-10-05T10:47:14.266Z
click at (275, 445) on 2024-10-05T10:47:14.267Z
mousedown at (598, 286) on 2024-10-05T10:55:30.505Z
mouseup at (598, 286) on 2024-10-05T10:55:30.592Z
click at (598, 286) on 2024-10-05T10:55:30.592Z
mousedown at (626, 255) on 2024-10-05T10:55:33.024Z
mouseup at (626, 255) on 2024-10-05T10:55:33.096Z
click at (626, 255) on 2024-10-05T10:55:33.097Z
mousedown at (500, 282) on 2024-10-05T10:55:39.408Z
mouseup at (500, 282) on 2024-10-05T10:55:39.469Z
click at (500, 282) on 2024-10-05T10:55:39.470Z
mousedown at (504, 315) on 2024-10-05T10:55:41.584Z
mouseup at (504, 315) on 2024-10-05T10:55:41.664Z
click at (504, 315) on 2024-10-05T10:55:41.665Z
mousedown at (501, 351) on 2024-10-05T10:56:26.104Z
mouseup at (501, 351) on 2024-10-05T10:56:26.184Z
